   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
             93        369353.000        39113723.265       203675417.208        42
            100        369353.000        22293527.645       116088244.664        49
            103        369353.000        36692121.282       191065499.938        47
             89        369353.000        37054418.026       192952074.266        46
             90        369353.000        37456487.289       195045753.795        44
             91        369353.000        36239696.362       188709603.800        47
             92        369353.000        38406743.171       199993985.587        43
              9        369353.000        25286048.454       132879091.710        37
             99        369353.000        25294993.994       131717671.137        43
              1        369354.000        20263877.725       106487351.349        52
              7        369354.000        20415917.285       107286355.518        50
              8        369354.000        23495500.179       123469684.983        45
             11        369354.000        20777826.878       109188199.349        50
             17        369354.000        23589557.097       123963967.917        45
             22        369354.000        23069917.568       121233204.436        45
             28        369354.000        23253838.866       122199740.842        45
             30        369354.000        20808856.890       109351268.002        52
              3        369354.000        23584882.550       123939368.793        45
             94        369354.000        40663322.999       211744602.568        37
             95        369354.000        35974968.549       187331097.027        48
             96        369354.000        36577320.610       190467699.783        46
             98        369354.000        35775650.103       186293192.182        47
             93        369354.000        39113760.189       203675609.923        42
            100        369354.000        22293631.247       116088783.196        49
            103        369354.000        36692219.195       191066009.465        47
             89        369354.000        37054464.810       192952318.050        46
             90        369354.000        37456526.587       195045958.552        44
             91        369354.000        36239740.354       188709833.700        47
             92        369354.000        38406787.024       199994212.932        42
              9        369354.000        25286392.066       132880897.405        38
             99        369354.000        25294752.431       131716412.956        43
              1        369355.000        20264072.958       106488375.809        51
              7        369355.000        20416222.733       107287961.092        49
              8        369355.000        23495927.220       123471927.950        44
             11        369355.000        20778211.429       109190218.798        49
             17        369355.000        23589361.201       123962939.500        44
             22        369355.000        23069695.322       121232034.203        45
             28        369355.000        23253445.155       122197672.847        44
             30        369355.000        20808799.915       109350969.295        51
              3        369355.000        23584469.084       123937195.820        44
             94        369355.000        40663202.156       211743972.024        38
             95        369355.000        35975114.782       187331858.886        48
             96        369355.000        36577481.012       190468533.695        45
             98        369355.000        35775688.406       186293391.120        47
             93        369355.000        39113797.062       203675802.690        42
            100        369355.000        22293734.692       116089321.907        49
            103        369355.000        36692317.091       191066519.082        47
             89        369355.000        37054511.769       192952561.844        46
             90        369355.000        37456565.780       195046163.331        44
             91        369355.000        36239784.468       188710063.633        47
             92        369355.000        38406830.719       199994440.285        42
              9        369355.000        25286736.027       132882702.257        37
             99        369355.000        25294510.955       131715155.005        43
              1        369356.000        20264267.930       106489400.908        51
              7        369356.000        20416528.374       107289567.319        49
              8        369356.000        23496354.088       123474170.857        44
             11        369356.000        20778595.839       109192238.706        49
             17        369356.000        23589165.374       123961911.253        44
             22        369356.000        23069473.180       121230864.264        45
             28        369356.000        23253051.268       122195604.788        44
             30        369356.000        20808743.429       109350671.247        51
              3        369356.000        23584055.654       123935022.897        44
             94        369356.000        40663081.104       211743341.339        38
             95        369356.000        35975261.207       187332620.936        48
             96        369356.000        36577641.153       190469367.651        45
             98        369356.000        35775726.814       186293590.224        47
             93        369356.000        39113834.178       203675995.453        42
            100        369356.000        22293838.172       116089860.795        49
            103        369356.000        36692414.795       191067028.773        47
             89        369356.000        37054558.640       192952805.639        46
             90        369356.000        37456605.200       195046368.119        43
             91        369356.000        36239828.704       188710293.581        47
             92        369356.000        38406874.414       199994667.660        42
              9        369356.000        25287079.692       132884507.330        37
             99        369356.000        25294269.601       131713897.273        43
              1        369357.000        20264463.268       106490426.839        51
              7        369357.000        20416834.206       107291174.341        49
              8        369357.000        23496780.780       123476413.871        44
             11        369357.000        20778980.477       109194259.186        49
             17        369357.000        23588969.565       123960883.348        44
             22        369357.000        23069250.638       121229694.749        45
             28        369357.000        23252657.871       122193536.821        44
             30        369357.000        20808686.838       109350374.017        51
              3        369357.000        23583642.537       123932850.186        44
             94        369357.000        40662959.982       211742710.643        37
             95        369357.000        35975407.928       187333383.304        48
             96        369357.000        36577801.328       190470201.783        45
             98        369357.000        35775765.135       186293789.647        47
             93        369357.000        39113871.417       203676188.401        42
            100        369357.000        22293941.809       116090400.017        49
            103        369357.000        36692512.725       191067538.703        47
             89        369357.000        37054605.424       192953049.612        46
             90        369357.000        37456644.568       195046573.080        43
             91        369357.000        36239872.976       188710523.701        47
             92        369357.000        38406918.110       199994895.211        42
              9        369357.000        25287423.339       132886312.259        37
             99        369357.000        25294028.055       131712639.913        43
              1        369358.000        20264658.919       106491453.394        51
              7        369358.000        20417140.126       107292781.985        49
              8        369358.000        23497207.665       123478656.812        43
             11        369358.000        20779364.993       109196280.094        49
             17        369358.000        23588773.983       123959855.598        44
             22        369358.000        23069028.060       121228525.486        44
             28        369358.000        23252264.281       122191468.772        44
             30        369358.000        20808630.439       109350077.429        51
              3        369358.000        23583229.246       123930677.510        44
             94        369358.000        40662839.035       211742079.787        38
             95        369358.000        35975554.301       187334145.811        48
             96        369358.000        36577961.312       190471035.897        45
             98        369358.000        35775803.421       186293989.223        47
             93        369358.000        39113908.499       203676381.330        42
            100        369358.000        22294045.219       116090939.396        49
            103        369358.000        36692610.621       191068048.681        47
             89        369358.000        37054652.156       192953293.594        46
             90        369358.000        37456683.831       195046778.034        43
             91        369358.000        36239917.299       188710753.809        47
             92        369358.000        38406961.892       199995122.768        42
              9        369358.000        25287766.847       132888116.876        37
             99        369358.000        25293786.788       131711382.738        43
              1        369359.000        20264854.187       106492480.567        51
              7        369359.000        20417446.151       107294390.248        49
              8        369359.000        23497634.393       123480899.671        43
             11        369359.000        20779749.473       109198301.410        49
             17        369359.000        23588578.593       123958828.029        44
             22        369359.000        23068805.814       121227356.489        45
             28        369359.000        23251870.883       122189400.630        44
             30        369359.000        20808574.022       109349781.474        51
              3        369359.000        23582816.008       123928504.858        44
             94        369359.000        40662717.983       211741448.770        38
             95        369359.000        35975700.603       187334908.499        48
             96        369359.000        36578121.644       190471870.031        45
             98        369359.000        35775841.864       186294188.955        47
